facility_kind,facility_id,pole_id,direction_degrees,install_date,replace_date,projected_x,projected_y,state_code,display_code,work_code,source_coordinate_system
audio_signal,24-0000008109,02-0000097315,180.0,20000101,20160510,192343.38371,543081.19141,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000002393,02-0000029603,180.0,20070601,20161214,193303.52865,545556.83281,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012423,02-0000122847,0.0,,,202169.6,550681.41249,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012286,02-0000017794,180.0,20161207,20220728,200842.5375,543219.36874,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012284,02-0000032424,180.0,20161207,20161207,200769.46368,543409.48882,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012150,02-0000183040,180.0,20160415,20160415,191802.70084,545142.36066,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000020234,02-0000221319,,20221027,20251120,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000008811,02-0000019645,45.0,20120319,20161210,194289.05,542987.09374,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000004922,02-0000015521,0.0,20000101,20230105,189780.01413,543326.09397,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000002746,02-0000053651,180.0,20251120,20251120,207052.9375,548061.31874,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000007867,02-0000019821,180.0,20070601,20160510,196185.95556,542972.61163,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000003669,02-0000111686,180.0,20251120,20251120,207048.75,548052.31874,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000000338,02-0000133184,180.0,20211107,20230105,190549.1875,544320.11874,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012534,02-0000117917,0.0,20160720,20160720,203551.02031,552672.48621,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000002745,02-0000053648,180.0,20251120,20251120,207032.375,548068.81874,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000009138,02-0000176615,180.0,20130830,20230105,190508.2625,544289.94374,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000009139,02-0000176616,180.0,20201102,20230105,190499.4125,544276.13124,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000008386,02-0000173705,0.0,20120912,20221215,185724.65826,546690.04571,1.0,2,3,seoul_projected_xy_unconverted
audio_signal,24-0000016888,02-0000166051,,20200520,20200520,212452.19268,548239.6456,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000020482,02-0000149513,,20230601,20230601,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012350,02-0000118243,180.0,20161226,20161226,191105.19644,552960.5222,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012346,02-0000166817,180.0,20161226,20161226,190687.25368,553305.03054,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000009416,02-0000177312,180.0,20131115,20161226,191733.98383,550334.97665,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000002744,02-0000053647,180.0,20251120,20251120,207023.0,548061.19374,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000020481,02-0000149512,,20230601,20230601,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000011702,02-0000016701,180.0,20150325,20150325,210754.59666,548169.20098,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000005078,02-0000016699,180.0,20081219,20151225,210714.03415,548197.76348,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000024219,02-0000064853,,20251120,20251120,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000024218,02-0000101352,,20251120,20251120,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012174,02-0000183180,180.0,20160831,20160831,192891.35,560374.35625,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000007347,02-0000169361,180.0,20111025,20160510,195203.0875,542222.06874,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000023202,02-0000226103,,20241120,20241120,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000023203,02-0000226328,,20240911,20240911,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000012331,02-0000158884,180.0,20161226,20161226,195974.425,549458.99999,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000023201,02-0000221254,,20241120,20241120,,,1.0,2,1,seoul_projected_xy_unconverted
