hotspot_fid,hotspot_id,source_year,legal_dong_code,site_code,district,place_name,display_name,accidents,casualties,deaths,serious_injuries,minor_injuries,reported_injuries,center_lng,center_lat,risk_score,risk_score_norm,risk_percentile,risk_level,risk_level_ko
6779179,2022040,2022,1135010500,11350005,서울특별시 노원구5,서울특별시 노원구 상계동(기업은행 부근),서울 노원구 상계동(기업은행 부근),7,7,0,7,0,0,127.081647983469,37.67051234467,35.0,0.0,0.3196,low,관심
6778761,2022040,2022,1138010600,11380001,서울특별시 은평구1,서울특별시 은평구 대조동(연신내역앞교차로 부근),서울 은평구 대조동(연신내역앞교차로 부근),12,14,0,12,2,0,126.921487192381,37.618639813278,62.0,0.36,0.9486,high,고위험
6779271,2022040,2022,1138010600,11380002,서울특별시 은평구2,서울특별시 은평구 대조동(불광역6번출구 부근),서울 은평구 대조동(불광역6번출구 부근),9,10,1,9,0,0,126.929028973609,37.610384240142,55.0,0.2667,0.9007,high,고위험
6779032,2022040,2022,1138010800,11380003,서울특별시 은평구3,서울특별시 은평구 역촌동(역촌역앞교차로 부근),서울 은평구 역촌동(역촌역앞교차로 부근),7,9,1,7,1,0,126.922028327047,37.607285611643,46.0,0.1467,0.7722,medium,주의
6779546,2022040,2022,1138010400,11380004,서울특별시 은평구4,서울특별시 은평구 갈현동(갈현사안경나라 부근),서울 은평구 갈현동(갈현사안경나라 부근),7,8,1,7,0,0,126.918734103197,37.62295269741,45.0,0.1333,0.7283,medium,주의
6779061,2022040,2022,1138011000,11380005,서울특별시 은평구5,서울특별시 은평구 증산동(증산시장 부근),서울 은평구 증산동(증산시장 부근),7,8,1,6,1,0,126.905244153796,37.580883096479,42.0,0.0933,0.6542,medium,주의
6778957,2022040,2022,1138010600,11380006,서울특별시 은평구6,서울특별시 은평구 대조동(불광전화국앞 부근),서울 은평구 대조동(불광전화국앞 부근),7,7,1,6,0,0,126.928335397562,37.612183559625,41.0,0.08,0.6361,medium,주의
6779337,2022040,2022,1138010700,11380007,서울특별시 은평구7,서울특별시 은평구 응암동(파리바게뜨 부근),서울 은평구 응암동(파리바게뜨 부근),7,7,0,7,0,0,126.91742330894,37.587613762966,35.0,0.0,0.3196,low,관심
6779175,2022040,2022,1138010800,11380008,서울특별시 은평구8,서울특별시 은평구 역촌동(서북병원사거리 부근),서울 은평구 역촌동(서북병원사거리 부근),7,7,0,7,0,0,126.910484003335,37.605786367148,35.0,0.0,0.3196,low,관심
6779075,2022040,2022,1138010400,11380009,서울특별시 은평구9,서울특별시 은평구 갈현동(연신내역 부근),서울 은평구 갈현동(연신내역 부근),7,7,0,7,0,0,126.919665847602,37.619712474252,35.0,0.0,0.3196,low,관심
6778918,2022040,2022,1141011100,11410001,서울특별시 서대문구1,서울특별시 서대문구 홍제동(서부빌딩 부근),서울 서대문구 홍제동(서부빌딩 부근),11,11,2,9,0,0,126.944831337198,37.587926126291,67.0,0.4267,0.9682,high,고위험
